word,language
maken,Dutch
संभावित,Hindi
ooit,Dutch
항해,Korean
també,Catalan
reply,Javanese
rehefa,Malagasy
kamusi,Swahili
heller,Danish
хөгжилтэй,Mongolian
teka,Javanese
hitte,Afrikaans
дуудлага,Mongolian
ពិភាក្សា,Khmer
pacchettu,Corsican
kecuali,Indonesian
ṣàdánwò,Yoruba
maissi,Finnish
proprietate,Latin
صورت,Persian
사람,Korean
páry,Czech
ביין,Yiddish
pertanyaan,Indonesian
pamatovat,Czech
சந்தோஷமாக,Tamil
изменение,Russian
нәресте,Kazakh
sanjati,Bosnian
este,Galician
منصوبہ,Urdu
tre,Norwegian
barazim,Albanian
странен,Cebuano
aṣọ,Yoruba
دانت,Urdu
основним,Ukrainian
ingekuwa,Swahili
ato,Portuguese
taifa,Swahili
прямій,Ukrainian
tulang,Indonesian
नई,Hindi
θέση,Greek
ਇਸ,Punjabi
단계,Korean
ทีมงาน,Thai
tulaga,Samoan
облачити,Serbian
ерік,Kazakh
trenger,Norwegian
на,Russian
kwimuka,Kinyarwanda
bag,Danish
rakontis,Esperanto
napetraka,Malagasy
always,English
шум,Ukrainian
besteak,Basque
ardaigh,Irish
byishimo,Kinyarwanda
team,Bosnian
desa,Indonesian
anatani,Chichewa
o’lish,Uzbek
യുദ്ധം,Malayalam
виграти,Ukrainian
skreaun,Frisian
алат,Kyrgyz
تخت,Persian
mellor,Galician
isigwebo,Xhosa
plāns,Latvian
poikasen,Finnish
noc,Polish
štart,Slovak
schlecht,German
رنگ,Sindhi
エリア,Japanese
fa,Malagasy
hivyo,Swahili
het,Afrikaans
ಮುಖ,Kannada
זעלנער,Yiddish
chaiwo,Shona
ophâlde,Frisian
poti,Shona
像,Chinese
muncă,Romanian
مسابقه,Persian
välja,Estonian
ədalətli,Azerbaijani
ไขมัน,Thai
propre,French
სარჩელი,Georgian
kylfu,Icelandic
whakamutunga,Maori
pwòp,Haitian
volana,Malagasy
ferrovie,Corsican
जोडा,Marathi
разгледзець,Belarusian
छोड,Nepali
fog,Hungarian
berbeza-beza,Malaysian
cyflwr,Welsh
да,Ukrainian
ອາຫານ,Lao
studint,Frisian
caso,Italian
خبر,Sindhi
ಸಣ್ಣ,Kannada
dovedi,Romanian
ជួរឈរ,Khmer
اصلي,Pashto
ludum,Latin
kiyintirmoq,Uzbek
set,Dutch
zoo,Hmong
үнэн,Mongolian
sześć,Polish
pitch,English
tcheke,Haitian
אחר,Hebrew
wāhanga,Maori
выбирать,Russian
シャープ,Japanese
kukimbia,Swahili
amarozi,Kinyarwanda
відповідь,Ukrainian
кўдаки,Tajik
ਤਿੱਖੀ,Punjabi
si,Swahili
venitada,Estonian
pilih,Javanese
lêst,Frisian
led,Sinhala
nharaunda,Shona
ਅੱਖ,Punjabi
危険,Japanese
cwmwl,Welsh
meuli,Sundanese
haqiqiy,Uzbek
гласный,Russian
សរសេរ,Khmer
matukoy,Filipino
ханым,Kazakh
oppositi,Latin
ทั้งหมด,Thai
тры,Belarusian
peza,Esperanto
ngabalanjakeun,Sundanese
cheannaigh,Irish
تتطلب,Arabic
ežeras,Lithuanian
dechreuodd,Welsh
oldin,Uzbek
чистий,Ukrainian
khau,Hmong
проби,Cebuano
sida,Swedish
binafsi,Swahili
Imboni,Zulu
സ്റ്റാൻഡ്,Malayalam
брат,Cebuano
주름,Korean
седмица,Cebuano
asụsụ,Igbo
અંગ,Gujarati
felly,Welsh
gaidīt,Latvian
bohale,Sesotho
manatili,Filipino
oxirgi,Uzbek
د,Pashto
ప్రేమ,Telugu
slav,Swedish
आवारातील,Marathi
ezvinhu,Shona
open,Hausa
هميشه,Sindhi
överraskning,Swedish
ხილი,Georgian
contener,Spanish
por,Portuguese
էր,Armenian
división,Galician
бірінші,Kazakh
albo,Polish
Fisch,German
kampas,Lithuanian
ಅಂಜೂರದ,Kannada
tafadhali,Swahili
kot,Polish
azaltmaq,Azerbaijani
വെറും,Malayalam
quotient,Luxembourgish
getih,Sundanese
bonisa,Zulu
bazar,Kurdish
kontinenta,Bosnian
afvige,Danish
mil,Catalan
sepatu,Indonesian
plek,Afrikaans
faia,Samoan
מהר,Hebrew
rota,Maltese
nuo,Lithuanian
ერთეული,Georgian
পরিবার,Bengali
ngozi,Swahili
praeparabit,Latin
däischter,Luxembourgish
erant,Latin
មុនពេល,Khmer
suojella,Finnish
dhashay,Somali
injira,Kinyarwanda
риба,Bulgarian
پیراگراف,Urdu
भेट,Marathi
ದೊಡ್ಡ,Kannada
доска,Russian
টাই,Bengali
gaar,Somali
per,Catalan
ela,Portuguese
mto,Swahili
umagwira,Chichewa
посета,Macedonian
ගුවන්,Sinhala
mabilis,Filipino
jato,Malagasy
مرکز,Pashto
пресекат,Cebuano
mezi,Czech
արտահայտություն,Armenian
հետեւել,Armenian
Dada,Malagasy
siata,Samoan
αγάπη,Greek
gozd,Slovenian
ລະດັບ,Lao
milja,Croatian
משפחה,Hebrew
muaj,Hmong
bayi,Yoruba
问,Chinese
zanist,Kurdish
моментов,Macedonian
gabals,Latvian
oszczędzać,Polish
seguro,Portuguese
fen,Kurdish
fit,Luxembourgish
cummattimentu,Corsican
forma,Basque
θερμοκρασία,Greek
un,Spanish
ie,Welsh
ਰੌਲਾ,Punjabi
хвилин,Ukrainian
hlusta,Icelandic
betruecht,Luxembourgish
bit,Slovak
iyi,Turkish
широк,Cebuano
əsas,Azerbaijani
හය,Sinhala
fata,Hausa
הר,Hebrew
ahau,Maori
ລະດູຫນາວ,Lao
sesong,Norwegian
tse,Sesotho
שדה,Hebrew
pii,Hawaiian
என்னுடைய,Tamil
negru,Romanian
imagine,Romanian
në,Albanian
alltaf,Icelandic
puno,Croatian
instrument,Indonesian
전체,Korean
જાડા,Gujarati
szag,Hungarian
men,Norwegian
ලිපිය,Sinhala
Роунд,Serbian
droit,French
batu,Indonesian
te,Maori
विपरीत,Nepali
hang,Hungarian
sillaf,Welsh
τεράστια,Greek
occupé,French
makhe,Xhosa
കമീകരിക്കുക,Malayalam
anali,Chichewa
konge,Danish
milito,Esperanto
kuweka,Swahili
krajiny,Slovak
ບາງ,Lao
okładka,Polish
guddiga,Somali
조각,Korean
suno,Esperanto
ಭಾರೀ,Kannada
coidados,Galician
ენერგიის,Georgian
byanditswe,Kinyarwanda
tasva,Shona
suporta,Filipino
Kasu,Basque
copia,Italian
murakkab,Uzbek
ខ្យល់,Khmer
օրինակ,Armenian
agian,Basque
henüz,Turkish
सिकाउँछन्,Nepali
बाहेर,Marathi
golide,Chichewa
لانے,Urdu
saapua,Finnish
talán,Hungarian
घटाउनुहोस्,Nepali
izdelek,Slovenian
ngaharepkeun,Sundanese
thit,Irish
koele,Dutch
sënn,Luxembourgish
أبدا,Arabic
cai,Sundanese
אדום,Hebrew
suffixe,French
baie,Afrikaans
nopirka,Latvian
share,Portuguese
efanele,Zulu
tšoeu,Sesotho
natuurlik,Afrikaans
dijete,Croatian
трети,Bulgarian
ခွောကျ,Myanmar
жел,Kazakh
band,Maltese
deqqe,Kurdish
am,Polish
یخ,Persian
ceceka,Kinyarwanda
qatra,Maltese
balat,Filipino
doğmuş,Turkish
მონაკვეთი,Georgian
kāpt,Latvian
południe,Polish
colbh,Scots
kumbuka,Swahili
часа,Cebuano
spoedig,Dutch
突然の,Japanese
hozir,Uzbek
ombord,Swedish
"octo,",Latin
preprost,Slovenian
telo,Slovenian
кратко,Bulgarian
